,no,ID_sample,Feval,Fmod_Feval,NFmod_Fe,NFeval,NFeval_NFmod,Fmod_NFeval
0,1,0.0,200583.7361127724,183905.01075927934,16678.725353493064,91016.26388780764,64987.04539981096,26029.21848799668
1,2,1.0,291599.99999830266,291599.99999830266,0.0,,,
2,3,2.0,43349.78693184521,10432.370305148834,32917.41662669637,248250.2130683283,234630.705417785,13619.507650543295
3,4,3.0,11736.453470987648,7248.664617735453,4487.788853252195,279863.5465290123,267298.0154226977,12565.531106314622
4,5,4.0,199287.3551756872,181530.65086556424,17756.704310122965,92312.64482460848,73106.3061910403,19206.33863356817
5,6,5.0,291600.0000003143,291600.0000003143,0.0,,,
6,7,6.0,291599.9999991199,291599.9999991199,0.0,,,
7,8,7.0,291600.00000081724,291600.00000081724,0.0,,,
8,9,8.0,291600.0,291600.0,0.0,,,
9,10,9.0,291599.9999998114,289133.7709716179,2466.229028193513,,,
10,11,10.0,291600.00000081724,281402.518439368,10197.48156144924,,,
11,12,11.0,291600.00000081724,291600.00000081724,0.0,,,
12,13,12.0,237529.72815757594,221578.06040058355,15951.667756992392,54070.2718432946,30599.68613219701,23470.58571109759
13,14,13.0,168028.73389992415,150783.34953631798,17245.384363606165,123571.26610007582,111908.44734524903,11662.818754826789
14,15,14.0,291600.00000094296,291600.00000094296,0.0,,,
15,16,15.0,37962.01668718173,15495.244656496005,22466.772030685723,253637.9833129458,249334.9767862979,4303.006526647921
16,17,16.0,173378.63951035627,143646.95381817088,29731.68569218539,118221.36049143621,92926.65702709445,25294.703464341757
17,18,17.0,291599.9999998114,277219.25674642663,14380.743253384775,,,
18,19,,,,,291600.0,290639.64503456984,960.3549654301605
19,20,19.0,254334.25518882147,205642.6656172836,48691.58957153786,37265.744812047735,6509.52215743389,30756.222654613844
20,21,20.0,204432.29235869466,188694.8326943966,15737.459664298047,87167.70764150746,62105.58417525781,25062.123466249643
21,22,21.0,241300.96190660604,204196.09236097746,37104.86954562858,50299.03809422627,15233.742845226181,35065.29524900009
22,23,,,,,291600.0,289622.28798313637,1977.712016863632
23,24,23.0,291599.99999729684,291599.99999729684,0.0,,,
24,25,24.0,212911.56129741558,138086.11034977259,74825.450947643,78688.43870382174,59232.17357798644,19456.2651258353
25,26,25.0,291600.00000081724,291600.00000081724,0.0,,,
26,27,26.0,291599.9999998114,291599.9999998114,0.0,,,
27,28,27.0,291599.9999988056,291599.9999988056,0.0,,,
28,29,28.0,269987.02169991523,229703.27681531664,40283.74488459859,21612.97830071811,14173.528404111294,7439.449896606817
29,30,29.0,291600.0000019488,284877.5152441108,6722.484757838014,,,
30,31,30.0,203374.65872212598,181059.3063864869,22315.352335639094,88225.34127743397,77670.31367834221,10555.027599091758
31,32,31.0,185529.9706649385,147574.09052851444,37955.880136424064,106070.02933652553,84833.38811523316,21236.641221292375
32,33,32.0,291599.9999996228,291599.9999996228,0.0,,,
33,34,33.0,124534.85285199637,83238.7998877935,41296.05296420287,167065.14714839918,142600.79327667874,24464.353871720436
