,no,ID_sample,Feval,Fmod_Feval,NFmod_Fe,NFeval,NFeval_NFmod,Fmod_NFeval
0,1,0.0,131122.89580251867,107275.66225096349,23847.233551555182,160477.1041978716,106069.38362524948,54407.72057262213
1,2,1.0,207573.78964652278,207573.78964652278,0.0,84026.21035360295,4332.219937798043,79693.9904158049
2,3,2.0,28871.932415258423,5132.13221426196,23739.800200996462,262728.0675849148,246689.38673971937,16038.680845195428
3,4,3.0,5339.34045427135,3694.7455674077682,1644.5948868635815,286260.65954572865,276580.1018699012,9680.55767582747
4,5,4.0,37430.86177166151,15656.493779225772,21774.367992435742,254169.1382283385,212578.31728252405,41590.820945814456
5,6,5.0,158369.6554794802,149747.2766423734,8622.378837106779,133230.3445213246,80527.1513315293,52703.19318979529
6,7,6.0,104751.81732768379,78052.39993605892,26699.41739162487,186848.18267262483,137440.465290481,49407.717382143834
7,8,7.0,184691.38210711646,120434.90771140091,64256.474395715544,106908.61789360485,73744.30499117519,33164.312902429665
8,9,8.0,291600.0,291600.0,0.0,,,
9,10,9.0,108818.83377128103,92835.39393986485,15983.43983141618,182781.16622871897,149791.0607979183,32990.10543080067
10,11,10.0,291600.00000081724,268948.28565123386,22651.714349583373,,,
11,12,11.0,42576.522861728845,36792.10694064089,5784.415921087952,249023.4771393248,215578.1486324508,33445.32850687401
12,13,12.0,144273.47419995733,104636.7845740904,39636.68962586693,147326.52580048877,114479.543004092,32846.98279639677
13,14,13.0,83498.59906652747,23822.952491680615,59675.64657484686,208101.40093347256,203301.1485277804,4800.252405692154
14,15,14.0,283697.37318318523,283111.9216514749,585.451531710336,7902.626817599986,2771.1518434977816,5131.474974102204
15,16,15.0,30918.040768636612,12414.515901893708,18503.524866742904,260681.95923152048,255137.4973711528,5544.461860367679
16,17,,,,,291600.0,248061.73203820974,43538.26796179026
17,18,17.0,262862.05819796654,229608.7530450082,33253.305152958346,28737.941802347777,18824.045344423623,9913.896457924155
18,19,,,,,291600.0,290639.6450346275,960.3549653724767
19,20,19.0,48899.66301111736,19333.198788747082,29566.464222370276,242700.33698906808,184709.40809538978,57990.9288936783
20,21,20.0,79906.40401712572,42163.46515641291,37742.93886071281,211693.59598294404,161371.880785143,50321.71519780104
21,22,21.0,44076.819025611025,10495.07980338282,33581.73922222821,247523.18097456876,233595.8045876697,13927.376386899065
22,23,,,,,291600.0,291600.0,0.0
23,24,23.0,208167.95634294584,201188.24440234512,6979.711940600711,83432.04365721624,49078.384095354304,34353.65956186194
24,25,24.0,148964.81005906197,84792.68395061365,64172.12610844833,142635.18994207407,86234.7011525082,56400.48878956586
25,26,25.0,291600.00000081724,261942.04199329478,29657.95800752245,,,
26,27,26.0,218381.5349393026,195977.6507469087,22403.88419239389,73218.46506097639,26191.285625611505,47027.17943536489
27,28,27.0,243818.82467836674,235193.80888845486,8625.015789911879,47781.17532163326,22477.58459686987,25303.590724763388
28,29,28.0,236702.76164342466,213077.26519912528,23625.49644429938,54897.238357208684,40417.65641307511,14479.581944133577
29,30,29.0,114148.50805801427,73837.8080240488,40310.70003396546,177451.49194294596,141147.0685067242,36304.423436221754
30,31,30.0,131106.73775191169,88910.49236250418,42196.2453894075,160493.2622477761,119759.15052269908,40734.111725077004
31,32,31.0,125834.86791763295,108748.64465701034,17086.223260622603,165765.13208337326,143550.1130108658,22215.01907250745
32,33,32.0,244619.53637255897,196855.21621972194,47764.32015283703,46980.463628446865,17638.175040237416,29342.28858820945
33,34,33.0,82369.83718993934,68573.87819187198,13795.958998067363,209230.16281035158,192621.14304810454,16609.019762247044
